decil,hogares,trimestral,piso,tope,mensual,piso_mensual,tope_mensual,porcentaje_del_ingreso
1,3882924,16795.15163113159,0,23636.03,5598.383877043863,0,7878.676666666666,2.156934820964503
2,3883042,28296.61623058159,23640.98,32620.32,9432.205410193863,7880.326666666667,10873.44,3.634132813641147
3,3883010,36844.41933751136,32620.56,41014.76,12281.473112503787,10873.52,13671.586666666668,4.73188768503814
4,3882672,45243.913222520474,41015.28,49624.8,15081.304407506825,13671.76,16541.600000000002,5.810119526253208
5,3883138,54306.710358594006,49625.73,59216.29,18102.236786198002,16541.91,19738.763333333332,6.974780156076661
6,3883019,64598.797700212126,59217.62,70388.1,21532.932566737374,19739.20666666667,23462.7,8.296370774482265
7,3883005,77449.47741372984,70389.16,85272.73,25816.49247124328,23463.053333333333,28424.243333333332,9.946737201221959
8,3882963,95289.09556103162,85274.2,106725.75,31763.031853677207,28424.733333333334,35575.25,12.237724145058479
9,3883293,123709.83525616018,106727.02,145804.74,41236.611752053395,35575.67333333333,48601.579999999994,15.889074112255361
10,3883164,236092.03094339566,145809.32,17431977.54,78697.34364779855,48603.10666666667,5810659.18,30.32223876500828
